Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Moisture,Soil Type,Crop Type,Fertilizer Name
90,36,49,20,83,26,Clayey,rice,Urea
66,36,59,25,84,32,Loamy,rice,Urea
41,0,0,33,64,50,Loamy,Wheat,Urea
38,0,0,34,65,54,Loamy,Wheat,Urea
39,0,0,38,72,51,Loamy,Wheat,Urea
39,0,0,31,62,32,Red,Tobacco,Urea
38,0,0,32,62,30,Loamy,Sugarcane,Urea
35,0,0,34,65,60,Black,Sugarcane,Urea
38,0,0,33,64,34,Clayey,Pulses,Urea
40,0,0,28,54,38,Clayey,Pulses,Urea
2,38,24,27,55,44,Loamy,pomegranate,Urea
35,0,0,28,54,46,Clayey,Paddy,Urea
39,0,0,34,65,38,Clayey,Paddy,Urea
36,0,0,28,54,41,Clayey,Paddy,Urea
37,0,0,27,53,35,Black,Oil seeds,Urea
42,0,0,27,53,34,Black,Oil seeds,Urea
36,0,0,28,54,37,Black,Millets,Urea
41,0,0,28,54,35,Black,Millets,Urea
41,0,0,30,60,40,Sandy,Millets,Urea
35,0,0,27,53,30,Black,Millets,Urea
37,0,0,26,52,38,Sandy,Maize,Urea
41,0,0,30,60,29,Red,Ground Nuts,Urea
41,0,0,36,68,41,Red,Ground Nuts,Urea
36,0,0,25,50,65,Loamy,Cotton,Urea
39,0,0,28,54,65,Black,Cotton,Urea
85,25,33,26,53,28,Loamy,coffee,Urea
80,25,30,26,66,30,Loamy,coffee,Urea
110,54,10,25,85,60,Loamy,watermelon,TSP
86,36,41,26,82,25,Loamy,rice,TSP
5,38,15,30,88,44,Loamy,pomegranate,TSP
100,54,24,25,82,65,Loamy,watermelon,TSP
109,54,27,26,80,59,Loamy,watermelon,TSP
5,38,21,30,89,30,Loamy,pomegranate,TSP
73,36,48,26,82,27,Loamy,rice,TSP
0,38,27,25,55,53,Loamy,pomegranate,Superphosphate
31,38,25,28,61,33,Loamy,pomegranate,Superphosphate
21,38,21,27,85,37,Loamy,pomegranate,Superphosphate
15,38,11,29,82,39,Loamy,pomegranate,Potassium sulfate.
39,38,30,30,83,63,Loamy,pomegranate,Potassium sulfate.
22,38,26,26,78,43,Sandy,Cotton,Potassium sulfate.
117,25,43,25,79,59,Loamy,Cotton,Potassium chloride
92,54,8,26,84,44,Loamy,watermelon,DAP
114,54,27,25,83,30,Loamy,watermelon,DAP
75,36,47,25,81,41,Clayey,rice,DAP
13,36,0,29,58,52,Loamy,Wheat,DAP
11,37,0,35,68,33,Red,Tobacco,DAP
12,36,0,29,52,45,Loamy,Sugarcane,DAP
12,40,0,30,60,27,Loamy,Sugarcane,DAP
78,36,43,22,81,45,Clayey,rice,DAP
13,40,0,27,54,28,Clayey,Pulses,DAP
12,41,0,37,70,37,Clayey,Paddy,DAP
12,39,0,37,70,32,Black,Oil seeds,DAP
15,37,0,29,58,34,Sandy,Millets,DAP
15,41,0,36,60,43,Sandy,Millets,DAP
14,41,0,26,52,31,Red,Ground Nuts,DAP
15,37,0,32,62,34,Red,Ground Nuts,DAP
13,39,0,33,64,31,Red,Ground Nuts,DAP
126,25,46,24,82,65,Sandy,Cotton,DAP
102,25,37,25,78,40,Loamy,Cotton,DAP
15,40,0,36,68,62,Red,Cotton,DAP
14,38,0,34,65,63,Red,Cotton,DAP
14,35,0,29,58,65,Black,Cotton,DAP
11,38,0,29,58,61,Loamy,Cotton,DAP
116,25,23,23,52,44,Sandy,coffee,DAP
117,25,34,25,57,30,Sandy,coffee,DAP
10,35,0,35,67,42,Sandy,Barley,DAP
12,42,0,30,60,47,Sandy,Barley,DAP
23,19,0,26,52,48,Loamy,Wheat,28-28
23,19,0,34,65,48,Loamy,Wheat,28-28
22,20,0,32,62,34,Red,Tobacco,28-28
22,24,0,32,62,34,Red,Tobacco,28-28
23,21,0,34,65,31,Red,Tobacco,28-28
21,23,0,26,52,39,Clayey,Pulses,28-28
24,19,0,25,50,32,Clayey,Pulses,28-28
24,22,0,32,62,41,Clayey,Paddy,28-28
24,18,0,29,58,43,Clayey,Paddy,28-28
21,18,0,30,60,42,Sandy,Millets,28-28
23,24,0,27,53,43,Black,Millets,28-28
23,20,0,26,52,44,Sandy,Maize,28-28
22,21,0,30,60,47,Sandy,Maize,28-28
24,23,0,29,58,40,Red,Ground Nuts,28-28
24,20,0,34,65,64,Black,Cotton,28-28
21,19,0,25,50,39,Sandy,Barley,28-28
21,28,0,31,62,44,Sandy,Barley,28-28
13,9,0,30,60,49,Loamy,Wheat,20-20
9,13,0,34,65,57,Black,Sugarcane,20-20
10,15,0,27,53,59,Loamy,Sugarcane,20-20
11,9,0,26,52,59,Loamy,Sugarcane,20-20
12,10,0,29,58,57,Black,Sugarcane,20-20
14,13,0,26,52,36,Clayey,Pulses,20-20
13,13,0,27,54,30,Clayey,Pulses,20-20
13,10,0,33,64,39,Clayey,Paddy,20-20
12,8,0,26,52,32,Black,Oil seeds,20-20
13,14,0,36,68,33,Black,Oil seeds,20-20
10,9,0,30,60,44,Sandy,Millets,20-20
8,15,0,29,58,37,Sandy,Millets,20-20
10,14,0,30,60,38,Sandy,Millets,20-20
9,10,0,25,50,64,Red,Cotton,20-20
10,14,13,31,62,49,Black,Sugarcane,17-17-17
12,12,14,34,65,53,Loamy,Sugarcane,17-17-17
11,15,13,25,50,56,Loamy,Sugarcane,17-17-17
14,12,15,31,62,48,Sandy,Maize,17-17-17
15,11,14,25,50,26,Red,Ground Nuts,17-17-17
11,15,12,31,62,63,Red,Cotton,17-17-17
12,13,10,26,52,35,Sandy,Barley,17-17-17
20,6,25,27,64,33,Clayey,kidneybeans,15-15-15
23,6,23,0,65,38,Loamy,kidneybeans,15-15-15
